disp,force
0.0000e+00,0.0000e+00
1.0000e-03,1.9967e+04
2.0000e-03,3.9924e+04
3.0000e-03,5.9836e+04
4.0000e-03,7.9670e+04
5.0000e-03,9.9395e+04
6.0000e-03,1.1898e+05
7.0000e-03,1.3838e+05
8.0000e-03,1.5758e+05
9.0000e-03,1.7653e+05
1.0000e-02,1.9521e+05
1.1000e-02,2.1357e+05
1.2000e-02,2.3159e+05
1.3000e-02,2.4923e+05
1.4000e-02,2.6644e+05
1.5000e-02,2.8318e+05
1.6000e-02,2.9939e+05
1.7000e-02,3.1500e+05
1.8000e-02,3.2991e+05
1.9000e-02,3.4399e+05
2.0000e-02,3.5697e+05
2.1000e-02,3.6845e+05
2.2000e-02,3.7767e+05
2.3000e-02,3.8366e+05
2.4000e-02,3.8553e+05
2.5000e-02,3.8199e+05
2.6000e-02,3.7178e+05
2.7000e-02,3.5491e+05
2.8000e-02,3.3196e+05
2.9000e-02,3.0301e+05
3.0000e-02,2.6963e+05
3.1000e-02,2.3297e+05
3.2000e-02,1.9137e+05
3.3001e-02,1.4055e+05
3.4001e-02,7.9809e+04
3.5001e-02,3.4122e+04
3.6001e-02,2.7443e+04
3.7001e-02,2.5217e+04
3.8002e-02,2.3356e+04
3.9002e-02,2.1802e+04
4.0002e-02,2.0426e+04
4.1002e-02,1.9059e+04
4.2002e-02,1.7881e+04
4.3002e-02,1.6942e+04
4.4002e-02,1.6068e+04
4.5002e-02,1.5357e+04
4.6002e-02,1.4784e+04
4.7002e-02,1.4281e+04
4.8002e-02,1.3753e+04
4.9002e-02,1.3079e+04
5.0002e-02,1.2468e+04
